Chromosome	Length	Base	Variations	Protein-	Pseudo-	Total	Total	miRNA	rRNA	snRNA	snoRNA	Misc	Links	Centromere	Cumulative
	(mm)	pairs		coding	genes	long	small					ncRNA		position	(%)
				genes		ncRNA	ncRNA							(Mbp)
22	17	50818468	2135311	488	324	357	78	31	5	23	23	62	EBI	14.7	93.8
21	16	46709983	2049697	234	185	305	71	16	5	21	19	24	EBI	13.2	92.6
20	21	64444167	3439621	544	249	384	131	57	15	46	37	68	EBI	27.5	91.4
19	20	58617616	3858269	1472	512	628	179	110	13	29	31	61	EBI	26.5	89.3
18	27	80373285	4035966	270	247	453	109	32	13	51	36	41	EBI	17.2	87.4
17	28	83257441	4614972	1197	531	834	235	61	15	80	71	99	EBI	24	84.8
16	31	90338345	5101702	873	465	799	187	52	32	53	58	51	EBI	36.6	82
15	35	101991189	4515076	613	510	639	250	78	13	63	136	93	EBI	19	79.3
14	36	107043718	4865950	830	523	533	239	92	10	65	97	79	EBI	17.6	76.4
13	39	114364328	5082574	327	372	397	104	42	16	45	34	75	EBI	17.9	73.4
12	45	133275309	7228129	1034	617	848	227	72	27	106	62	115	EBI	35.8	70
11	46	135086622	7535370	1298	821	710	233	63	24	74	76	97	EBI	53.7	65.4
10	46	133797422	7223944	733	568	579	204	64	32	87	56	89	EBI	40.2	60.9
9	48	138394717	6590811	786	661	491	190	69	19	66	51	96	EBI	49	56.3
8	50	145138636	8221520	677	613	735	214	80	28	86	52	82	EBI	45.6	52
7	54	159345973	8613298	989	885	605	208	90	24	90	76	143	EBI	59.9	47.1
6	58	170805979	9130476	1048	801	639	234	81	26	90	73	105	EBI	61	41.6
5	62	181538259	9519995	876	721	844	235	83	25	90	61	119	EBI	48.4	35.8
4	65	190214555	10165685	752	727	657	228	92	24	90	56	104	EBI	50.4	29.6
3	67	198295559	10638715	1078	763	711	298	99	29	90	87	134	EBI	91	23
2	83	242193529	12945965	1309	1023	1037	375	115	40	90	117	176	EBI	93.3	16.2
1	85	248956422	12151146	2058	1220	1200	496	134	66	90	145	192	EBI	125	7.9
mtDNA	0.0054	16569	929	13	0	0	24	0	2	90	0	0	EBI	N/A	100
Y	20	57227415	211643	71	388	71	30	15	7	90	3	8	EBI	12.5	100
X	53	156040895	5753881	842	874	271	258	128	22	90	64	100	EBI	60.6	99.1
total		3088286401	155630645	20412	14600	14727	5037	1756	532	90	1521	2213
